X,Y,Z,channels
0.048491283,-0.064040562,0.077970324,CPP4h
0.069274684,-0.063882114,0.05041946,CPP6h
0.076443295,-0.062891527,0.016132737,TPP8h
0.076219466,-0.064465145,-0.020314606,TPP10h
-0.064306789,-0.08908445,-0.015453789,PPO9h
-0.06422783,-0.089049939,0.017199954,PPO7h
-0.055516234,-0.090685366,0.04177097,PPO5h
-0.037696022,-0.092320668,0.060717746,PPO3h
-0.013644139,-0.092597779,0.070193679,PPO1h
0.012206713,-0.092250585,0.07080099,PPO2h
0.035954265,-0.091910215,0.060805555,PPO4h
0.052866621,-0.091063333,0.041456547,PPO6h
0.061417181,-0.089611474,0.017449759,PPO8h
0.062123009,-0.09001582,-0.014663195,PPO10h
-0.043041622,-0.108577751,-0.008921627,POO9h
-0.041327204,-0.108402825,0.016846724,POO7h
-0.033257416,-0.109118664,0.027767688,POO5h
-0.021414827,-0.110161698,0.034944597,POO3h
-0.008532334,-0.110766159,0.038215822,POO1h
0.005240466,-0.111141508,0.037426442,POO2h
0.018659216,-0.110429953,0.034197193,POO4h
0.030272271,-0.109371988,0.026984563,POO6h
0.038862159,-0.108196779,0.016667138,POO8h
0.04066649,-0.108811356,-0.008823222,POO10h
-0.016034373,-0.119057715,-0.00184799,OI1h
0.013303918,-0.118778284,-0.001788742,OI2h
-0.014278564,0.08654031,-0.006078842,Fp1h
0.016246246,0.086716611,-0.006195792,Fp2h
-0.055134136,0.064525986,-0.031511331,AF9h
-0.050591977,0.068565128,-0.003627611,AF7h
-0.039639656,0.074471083,0.012541603,AF5h
-0.02678621,0.077680599,0.026521181,AF3h
-0.008741175,0.079908134,0.033498709,AF1h
0.011052331,0.079889255,0.03376938,AF2h
0.02906571,0.077142731,0.02653711,AF4h
0.041818446,0.073731714,0.012683777,AF6h
0.052145049,0.067490557,-0.003702714,AF8h
0.056507159,0.062507789,-0.031209848,AF10h
-0.0715527,0.038239908,-0.0317453,F9h
-0.068028083,0.043175196,0.001949684,F7h
-0.05792116,0.049320971,0.028705715,F5h
